Time [s],Channel 0
0.000000000,1
1.434148583,0
1.581860458,1
2.012489667,0
2.160962875,1
2.756260625,0
2.881944125,1
2.881948417,0
2.882166542,1
2.882239583,0
2.882294500,1
2.882337958,0
2.882372792,1
3.418162542,0
3.554083083,1
3.554083792,0
3.554171917,1
3.554172708,0
3.554261500,1
4.123634458,0
4.233103750,1
4.233105042,0
4.233438792,1
4.233454042,0
4.233652583,1
4.233659583,0
4.233755042,1
4.870977375,0
5.039420000,1
5.039630167,0
5.040118625,1
5.040121125,0
5.040327417,1
5.040340000,0
5.040473083,1
5.040547167,0
5.040672500,1
5.040979875,0
5.041027042,1
5.041305542,0
5.041399292,1
5.041440792,0
5.041490292,1
5.041581792,0
5.041626625,1
5.041644625,0
5.041685042,1
5.041711875,0
5.041755417,1
5.041886542,0
5.041963625,1
5.041974708,0
5.042037625,1
6.013677500,0
6.255314417,1
7.054449750,0
7.118192042,1
8.019233708,0
8.710737458,1
9.515613583,0
9.598391708,1
10.605397542,0
12.545293333,1
14.954666667,1
