Time [s],Channel 0
0.000000000,1
1.344476000,0
1.420856500,1
1.784981542,0
1.831369958,1
2.211217583,0
2.771293875,1
2.771297167,0
2.771490250,1
2.771546458,0
2.771620583,1
2.771622333,0
2.771694667,1
2.771697125,0
2.771729542,1
2.771732708,0
2.771771625,1
2.771772917,0
2.771796083,1
2.771810750,0
2.771846208,1
2.771846583,0
2.771860958,1
2.771873875,0
2.771893792,1
2.771903833,0
2.771936375,1
2.771936708,0
2.771947708,1
2.771978667,0
2.772000708,1
2.772115625,0
2.772139833,1
3.053050000,0
3.418881583,1
3.418881750,0
3.418982708,1
3.582116000,0
3.724099458,1
4.050318250,0
4.100989708,1
4.241853083,0
4.504788042,1
4.713391250,0
4.713446458,1
4.713455833,0
5.068436125,1
5.292091667,0
5.670330333,1
6.000453625,0
6.030302292,1
6.401430083,0
6.418196000,1
6.844248167,0
6.879662375,1
6.879663333,0
6.879694625,1
6.879694875,0
6.879720708,1
6.879721167,0
6.879757417,1
6.879759042,0
6.879833292,1
6.879861083,0
6.880007958,1
7.279188125,0
7.279188417,1
7.279188917,0
7.312525083,1
7.699417875,0
7.735641042,1
8.084665708,0
8.125518667,1
8.520494542,0
9.085794625,1
9.683176333,0
9.910852292,1
9.910854125,0
9.910863417,1
9.910880000,0
9.910889042,1
9.910897792,0
9.910905833,1
9.910906208,0
9.910909958,1
9.910911500,0
9.910918667,1
9.910921208,0
9.910928375,1
9.910929292,0
9.910936583,1
10.643433542,0
10.812258958,1
10.812260417,0
10.812635333,1
10.812655583,0
10.813017167,1
10.813017500,0
10.813091583,1
10.905307000,0
11.090393833,1
11.090713000,0
11.090713208,1
11.148023833,0
11.194652292,1
11.290505333,0
11.345745542,1
11.422602417,0
11.670493667,1
11.782353958,0
11.966050500,1
12.197564125,0
12.655516417,1
13.973333333,1
