=== DZ 1.6: LDR light meter ===
GPIO 1 (ADC1), period 100 ms, ADCmax 4095, Uref 3100 mV
U(calc) = RAW * Uref / ADCmax,  U(API) = analogReadMilliVolts()
dU = U(calc) - U(API),  err = dU / U(API) * 100%

    # |   RAW | U(calc), mV | U(calc), V | U(API), mV |  dU, mV |  err, %
------+-------+-------------+------------+------------+---------+--------
    1 |  3772 |      2855.5 |      2.855 |       3000 |  -144.5 |   -4.82
    2 |  3801 |      2877.4 |      2.877 |       3017 |  -139.6 |   -4.63
    3 |  3809 |      2883.5 |      2.883 |       3017 |  -133.5 |   -4.43
    4 |  3806 |      2881.2 |      2.881 |       3018 |  -136.8 |   -4.53
    5 |  3803 |      2878.9 |      2.879 |       3017 |  -138.1 |   -4.58
    6 |  3855 |      2918.3 |      2.918 |       3042 |  -123.7 |   -4.07
    7 |  3888 |      2943.3 |      2.943 |       3061 |  -117.7 |   -3.85
    8 |  3887 |      2942.5 |      2.943 |       3057 |  -114.5 |   -3.74
    9 |  3851 |      2915.3 |      2.915 |       3042 |  -126.7 |   -4.17
   10 |  3813 |      2886.5 |      2.887 |       3023 |  -136.5 |   -4.51
   11 |  3807 |      2882.0 |      2.882 |       3020 |  -138.0 |   -4.57
   12 |  3819 |      2891.1 |      2.891 |       3027 |  -135.9 |   -4.49
   13 |  3835 |      2903.2 |      2.903 |       3034 |  -130.8 |   -4.31
   14 |  3859 |      2921.3 |      2.921 |       3046 |  -124.7 |   -4.09
   15 |  3859 |      2921.3 |      2.921 |       3042 |  -120.7 |   -3.97
   16 |  3871 |      2930.4 |      2.930 |       3050 |  -119.6 |   -3.92
   17 |  3981 |      3013.7 |      3.014 |       3101 |   -87.3 |   -2.82
   18 |  3967 |      3003.1 |      3.003 |       3094 |   -90.9 |   -2.94
   19 |  3955 |      2994.0 |      2.994 |       3090 |   -96.0 |   -3.11
   20 |  3951 |      2991.0 |      2.991 |       3089 |   -98.0 |   -3.17
      avg err: -4.03 %   max |err|: 4.82 %   (20 samples)

    # |   RAW | U(calc), mV | U(calc), V | U(API), mV |  dU, mV |  err, %
------+-------+-------------+------------+------------+---------+--------
   21 |  3947 |      2988.0 |      2.988 |       3084 |   -96.0 |   -3.11
   22 |  3933 |      2977.4 |      2.977 |       3076 |   -98.6 |   -3.21
   23 |  3930 |      2975.1 |      2.975 |       3078 |  -102.9 |   -3.34
   24 |  3945 |      2986.4 |      2.986 |       3084 |   -97.6 |   -3.16
   25 |  3933 |      2977.4 |      2.977 |       3080 |  -102.6 |   -3.33
   26 |  3918 |      2966.0 |      2.966 |       3076 |  -110.0 |   -3.58
   27 |  3911 |      2960.7 |      2.961 |       3070 |  -109.3 |   -3.56
   28 |  3895 |      2948.6 |      2.949 |       3061 |  -112.4 |   -3.67
   29 |  3876 |      2934.2 |      2.934 |       3056 |  -121.8 |   -3.99
   30 |  3689 |      2792.6 |      2.793 |       2954 |  -161.4 |   -5.46
   31 |  3131 |      2370.2 |      2.370 |       2590 |  -219.8 |   -8.49
