=== DZ 2.2: software PWM from a potentiometer ===
причина останнього старту: POWERON (подали живлення)
потенціометр на GPIO 1 (ADC1, 12 біт), ключ на GPIO 2
період 1000 us (1000 Hz), робочий діапазон 25..100 %, мертва зона ADC < 60
ADC: одне читання за 20 ms, ковзне середнє по 8 вимірах
розгін: не більше 2 % за вимір, тобто 0 -> 100 % за 1000 ms
поштовх при старті: 58 % протягом 80 ms

   ADC | ціль | зараз | high us | low us | фронт/с | ШІМ late | max | ADC avg | max | print
-------+------+-------+---------+--------+---------+----------+------+---------+-----+------
     0 |   0% |    0% |       0 |   1000 |       0 |        0 |    0 |      72 |   91 |      0
     0 |   0% |    0% |       0 |   1000 |       0 |        0 |    0 |      60 |   78 |    139
     0 |   0% |    0% |       0 |   1000 |       0 |        0 |    0 |      59 |   72 |    132
     0 |   0% |    0% |       0 |   1000 |       0 |        0 |    0 |      59 |   69 |    132
     0 |   0% |    0% |       0 |   1000 |       0 |        0 |    0 |      59 |   72 |    130
    71 |  25% |   58% |     580 |    420 |      22 |        6 |   64 |      59 |   68 |    132  <- поштовх
   189 |  27% |   27% |     270 |    730 |    1998 |        0 |    2 |      60 |   75 |    155
   218 |  27% |   27% |     270 |    730 |    2000 |        0 |    2 |      60 |   70 |    154
   328 |  29% |   29% |     290 |    710 |    2000 |        0 |    2 |      60 |   75 |    152
   477 |  32% |   32% |     320 |    680 |    2000 |        0 |    2 |      60 |   71 |    155
   862 |  39% |   39% |     390 |    610 |    2000 |        0 |    2 |      60 |   75 |    152
  1242 |  46% |   46% |     460 |    540 |    2000 |        0 |    2 |      60 |   70 |    154
  1491 |  51% |   51% |     510 |    490 |    2000 |        0 |    2 |      60 |   74 |    154
  1695 |  55% |   55% |     550 |    450 |    2000 |        0 |    2 |      60 |   70 |    155
  2113 |  63% |   63% |     630 |    370 |    2000 |        0 |    2 |      60 |   75 |    153
  2519 |  70% |   70% |     700 |    300 |    1998 |        0 |   55 |      60 |   71 |    156
  2743 |  74% |   74% |     740 |    260 |    2000 |        2 |  153 |      60 |   77 |    156
  2921 |  78% |   78% |     780 |    220 |    2000 |        2 |  156 |      60 |   70 |    160
  3654 |  91% |   91% |     910 |     90 |    2000 |        2 |  155 |      60 |   75 |    159
  4095 | 100% |  100% |    1000 |      0 |    1420 |        0 |  155 |      60 |   71 |    158
  4095 | 100% |  100% |    1000 |      0 |       0 |        0 |    0 |      60 |   74 |    157
  4095 | 100% |  100% |    1000 |      0 |       0 |        0 |    0 |      60 |   69 |    146
  4091 |  99% |   99% |     990 |     10 |     100 |        1 |   63 |      60 |   74 |    144
  3463 |  88% |   88% |     880 |    120 |    2000 |        0 |   99 |      60 |   71 |    156
  3040 |  80% |   80% |     800 |    200 |    2000 |        0 |    2 |      60 |   77 |    157
  2359 |  67% |   67% |     670 |    330 |    2000 |        0 |    2 |      60 |   71 |    155
  1843 |  58% |   58% |     580 |    420 |    2000 |        0 |    5 |      60 |   75 |    155
  1488 |  51% |   51% |     510 |    490 |    2000 |        0 |    2 |      60 |   70 |    155
  1134 |  44% |   44% |     440 |    560 |    2000 |        0 |    2 |      60 |   74 |    153
   818 |  39% |   39% |     390 |    610 |    2000 |        0 |    2 |      60 |   71 |    156
   621 |  35% |   35% |     350 |    650 |    2000 |        0 |    2 |      60 |   75 |    152
   444 |  32% |   32% |     320 |    680 |    2000 |        0 |    2 |      60 |   70 |    153
   268 |  28% |   28% |     280 |    720 |    2000 |        0 |    2 |      60 |   75 |    153
    44 |   0% |   21% |     210 |    790 |    2000 |        0 |    2 |      60 |   71 |    154
     0 |   0% |    0% |       0 |   1000 |     858 |        1 |   53 |      60 |   74 |    147
     0 |   0% |    0% |       0 |   1000 |       0 |        0 |    0 |      59 |   71 |    144
     0 |   0% |    0% |       0 |   1000 |       0 |        0 |    0 |      60 |   76 |    133
     0 |   0% |    0% |       0 |   1000 |       0 |        0 |    0 |      59 |   70 |    135
     0 |   0% |    0% |       0 |   1000 |       0 |        0 |    0 |      60 |   72 |    130
    58 |   0% |    0% |       0 |   1000 |       0 |        0 |    0 |      60 |   69 |    132
   148 |  26% |   26% |     260 |    740 |    1940 |        0 |   79 |      60 |   72 |    133  <- поштовх
     0 |   0% |    0% |       0 |   1000 |    1500 |        0 |    6 |      60 |   71 |    161
     0 |   0% |    0% |       0 |   1000 |       0 |        0 |    0 |      60 |   77 |    139
     0 |   0% |    0% |       0 |   1000 |       0 |        0 |    0 |      59 |   70 |    135
     0 |   0% |    0% |       0 |   1000 |       0 |        0 |    0 |      60 |   72 |    130
